tag	en	fr	pt	es	id	ru	zh
mediaTitle.uploadFailed	Upload Failed!	Échec du téléchargement !	Falha no carregamento!	¡Carga fallida!	Pengunggahan Gagal!	Загрузка не удалась!	上传失败！
main.oops	Oops!	Oups !	Ops!	¡Ups!	Aduh!	Упс!	哎呀
commentCard.confirmDelete	Delete this comment?	Supprimer ce remarque ?	Excluir este comentário?	¿Borrar este comentario?	Hapus catatan ini?	Удалить этот комментарий?	确认要删除该留言吗？
passageDetailArtifacts.deleteConfirm	Delete Resource?	Supprimer la ressource ?	Excluir Recurso?	¿Borrar recurso?	Hapus sumber?	Удалить ресурс?	删除资源吗？
cards.closeNoSave	Close without Saving?	Fermer sans sauvegarder ?	Fechar sem guardar?	¿Cerrar sin guardar?	Tutup tanpa menyimpan?	Закрыть без сохранения?	关闭而不保存？
import.continue	Continue?	Continuer?	Continuar?	¿Continuar?	Lanjut?	Продолжить?	是否继续？
projectDownload.download	Download?	Télécharger ?	Baixar?	¿Descargar?	Unduh?	Загрузить?	下载吗？
profile.discardChanges	Discard unsaved Changes?	Annuler les modifications non sauvegardées ?	Descartar Alterações não salvas?	¿Descartar los cambios no guardados?	Buang perubahan yang tidak disimpan?	Отбросить несохраненные изменения?	要放弃未保存的改动吗？
alert.areYouSure	Are you sure?	Êtes-vous certain(e) ?	Você tem certeza?	¿Está seguro?	Apakah Anda yakin?	Вы уверены?	您确定吗？
invite.questions	Questions? Contact	Des questions? Contact	Dúvidas? Entre em contato	¿Preguntas? Póngase en contacto con	Pertanyaan? Hubungi	Вопросы? Свяжитесь с нами	有问题？联系我们
transcriptionTab.exportType	Which export type?	Quel type d'exportation?	Qual tipo de exportação?	¿Qué tipo de exportación?	Jenis ekspor yang mana?	Какой тип экспорта?	哪种导出类型？
workflowSteps.none	(None)	(Aucun)	(Nenhum)	(Ninguno)	(Tidak ada)	(Нет)	(无)
audacityManager.open	Open	Ouvrir	Abrir	Abrir	Buka	Открыть	打开
transcribe.openTranscriber	Open Transcriber	Transcripteur ouvert	Abrir o Transcriber	Abrir transcriptor	Buka Transcriber	Открыть транскриптор	打开听写本
main.videos	Access Training Videos	Accéder aux vidéos de formation	Acessar vídeos de treinamento	Acceder a los vídeos de formación	Buka Video Latihan	Доступ к учебным видеоматериалам	访问培训视频
main.logos	Access Logos Resources	Accès Ressources Logos	Acessar recursos de logotipos	Acceder a Recursos Logos	Buka Sumber Logos	Доступ к ресурсам Logos	访问徽标资源
main.course	Access Accredited Course	Accéder à un cours accrédité	Acessar o curso credenciado	Acceder al curso acreditado	Buka Kursus Terakreditasi	Доступ к аккредитованным курсам	访问认证课程
main.walkThru	Access Walk Through	Accès à la visite guidée	Passeio pelo Access	Acceder al recorrido	Buka Video Pengenalan APM	Доступ к просмотру	Access 演示
main.openContent	Access Open Content	Accéder au contenu ouvert	Acessar conteúdo aberto	Acceso a contenido abierto	Buka Konten Akses Terbuka	Доступ к открытому контенту	访问开放内容
invitationTable.action	Action	Action	Ação	Acción	Tindakan	Действие	行动
mediaTab.action	Action	Action	Ação	Acción	Tindakan	Действие	行动
passageDetailArtifacts.action	Action	Action	Ação	Acción	Tindakan	Действие	行动
planSheet.action	Action	Action	Ação	Acción	Tindakan	Действие	行动
resource.action	Action	Action	Acção	Acción	Tindakan	Действие	行动
toDoTable.action	Action	Action	Ação	Acción	Tindakan	Действие	行动
usertable.action	Action	Action	Ação	Acción	Tindakan	Действие	行动
mediaTab.actions	Actions	Actions	Ações	Acciones	Tindakan	Действия	行动
invitationTable.accepted	Accepted	Acceptée	Aceito	Aceptado	Diterima	Принято	已接受
passageDetailArtifacts.accept	Accept	Accepter	Aceitar	Aceptar	Terima	Принять	接受
main.about	About	À propos de	Sobre	Acerca de	Tentang	О программе	关于
artifactCategory.activity	Activity	Activité	Atividade	Actividad	Aktivitas	Активность	活动
artifactType.activity	Activity	Activité	Atividade	Actividad	Aktivitas	Деятельность	活动
transcriptionTab.updated	Updated	Mise à jour	Atualizado	Actualizado	Diperbarui	Обновлено	已更新
planSheet.addPublishing	Update Publishing Rows	Mise à jour des lignes de publication	Atualizar linhas de publicação	Actualizar filas de publicación	Perbarui Baris Penerbitan	Обновление строк публикации	更新发布行
main.admin	Admin	Admin	Administrador	Admin	Admin	Администратор	管理
permission.admin	Admin	Admin	Administrador	Administrador	Admin	Администратор	管理
shared.admin	Admin	Admin	Administrador	Administrador	Admin	Администратор	管理
audacityManager.title	Audacity Manager	Gestionnaire d'Audacity	Gerenciador do Audacity	Administrador de Audacity	Pengelola Audacity	Менеджер Audacity	胆敢 管理器
